výsledek pro soubor txt	porvní sloupec zdroje			kdo, komu	kdy	řádek	číslo zprávy	sestava	další sloupce zdrojů – texty			
[1 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Sára - kompletní paměť:    [1 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Sára - kompletní paměť:    	[1 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	1	1	[1 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Sára - kompletní paměť:    	 Sára - kompletní paměť:			
[2 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Dělám knihu o mimozemšťanech. potřebuji upravit data a dát do horomady sloh: tady vycházej z toho, že fotky nebudou možné použít (autorská práva) v knize obsaženy. Proto se pokus dohledata popsat. Neztrácej ale čas. Pokud něco nechápeš, ptej se. Od každé věci by to chtělo text tak na odstavec (+/- 5 až 10 vět) udělej strukturu a každou záhadu někjak popiš. - at se ví co na ní je zahadného, ​​kde se nachází a co se o ní ví. Bohužel v mých datech jsou fotky, které kvůli autorským právům nemůžu použít) TROSKY STAROVĚKÝCH CIVILIZACÍ Japonsko – Jonaguni Místní instruktor potápění narazil v pobřežních vodách Japonska na divný objekt, který vypadá jako stadion (o průměru 80 metrů). Vědci tento objev ignorovali. Vždyť v historických záznamech zde není žádná informace o nějaké kultuře umět udělat takovou stavbu.Snažili jsme se to svést na dílo přírody. Ale objevilo se, že toto není jediný objekt staré civilizace. Našla se také kamenná sedmimetrová lidská hlava podobná těm z ostrova Paski. Jižní    [2 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Dělám knihu o mimozemšťanech. potřebuji upravit data a dát do horomady sloh: tady vycházej z toho, že fotky nebudou možné použít (autorská práva) v knize obsaženy. Proto se pokus dohledata popsat. Neztrácej ale čas. Pokud něco nechápeš, ptej se. Od každé věci by to chtělo text tak na odstavec (+/- 5 až 10 vět) udělej strukturu a každou záhadu někjak popiš. - at se ví co na ní je zahadného, ​​kde se nachází a co se o ní ví. Bohužel v mých datech jsou fotky, které kvůli autorským právům nemůžu použít) TROSKY STAROVĚKÝCH CIVILIZACÍ Japonsko – Jonaguni Místní instruktor potápění narazil v pobřežních vodách Japonska na divný objekt, který vypadá jako stadion (o průměru 80 metrů). Vědci tento objev ignorovali. Vždyť v historických záznamech zde není žádná informace o nějaké kultuře umět udělat takovou stavbu.Snažili jsme se to svést na dílo přírody. Ale objevilo se, že toto není jediný objekt staré civilizace. Našla se také kamenná sedmimetrová lidská hlava podobná těm z ostrova Paski. Jižní    	[2 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	2	1	[2 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Dělám knihu o mimozemšťanech. potřebuji upravit data a dát do horomady sloh: tady vycházej z toho, že fotky nebudou možné použít (autorská práva) v knize obsaženy. Proto se pokus dohledata popsat. Neztrácej ale čas. Pokud něco nechápeš, ptej se. Od každé věci by to chtělo text tak na odstavec (+/- 5 až 10 vět) udělej strukturu a každou záhadu někjak popiš. - at se ví co na ní je zahadného, ​​kde se nachází a co se o ní ví. Bohužel v mých datech jsou fotky, které kvůli autorským právům nemůžu použít) TROSKY STAROVĚKÝCH CIVILIZACÍ Japonsko – Jonaguni Místní instruktor potápění narazil v pobřežních vodách Japonska na divný objekt, který vypadá jako stadion (o průměru 80 metrů). Vědci tento objev ignorovali. Vždyť v historických záznamech zde není žádná informace o nějaké kultuře umět udělat takovou stavbu.Snažili jsme se to svést na dílo přírody. Ale objevilo se, že toto není jediný objekt staré civilizace. Našla se také kamenná sedmimetrová lidská hlava podobná těm z ostrova Paski. Jižní    	 Dělám knihu o mimozemšťanech. potřebuji upravit data a dát do horomady sloh: tady vycházej z toho, že fotky nebudou možné použít (autorská práva) v knize obsaženy. Proto se pokus dohledata popsat. Neztrácej ale čas. Pokud něco nechápeš, ptej se. Od každé věci by to chtělo text tak na odstavec (+/- 5 až 10 vět) udělej strukturu a každou záhadu někjak popiš. - at se ví co na ní je zahadného, ​​kde se nachází a co se o ní ví. Bohužel v mých datech jsou fotky, které kvůli autorským právům nemůžu použít) TROSKY STAROVĚKÝCH CIVILIZACÍ Japonsko – Jonaguni Místní instruktor potápění narazil v pobřežních vodách Japonska na divný objekt, který vypadá jako stadion (o průměru 80 metrů). Vědci tento objev ignorovali. Vždyť v historických záznamech zde není žádná informace o nějaké kultuře umět udělat takovou stavbu.Snažili jsme se to svést na dílo přírody. Ale objevilo se, že toto není jediný objekt staré civilizace. Našla se také kamenná sedmimetrová lidská hlava podobná těm z ostrova Paski. Jižní			
[3 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Zobrazit více    [3 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Zobrazit více    	[3 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	3	1	[3 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Zobrazit více    	 Zobrazit více			
[4 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  18.02;2026    [4 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  18.02;2026    	[4 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	4	1	[4 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  18.02;2026    	 18.02;2026			
[5 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Orchestroval strukturování záhad starověkých civilizací do trilingvního dokumentu    [5 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Orchestroval strukturování záhad starověkých civilizací do trilingvního dokumentu    	[5 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	5	1	[5 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Orchestroval strukturování záhad starověkých civilizací do trilingvního dokumentu    	 Orchestroval strukturování záhad starověkých civilizací do trilingvního dokumentu			
[6 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Uživatel chce, abych zpracoval materiál o záhadách starověkých civilizací pro knihu o mimozemšťanech. Požaduje:    [6 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Uživatel chce, abych zpracoval materiál o záhadách starověkých civilizací pro knihu o mimozemšťanech. Požaduje:    	[6 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	6	1	[6 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Uživatel chce, abych zpracoval materiál o záhadách starověkých civilizací pro knihu o mimozemšťanech. Požaduje:    	 Uživatel chce, abych zpracoval materiál o záhadách starověkých civilizací pro knihu o mimozemšťanech. Požaduje:			
[7 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Strukturovat data    [7 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Strukturovat data    	[7 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	7	1	[7 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Strukturovat data    	 Strukturovat data			
[8 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Každou záhadu popsat odstavcem (5-10 vět)    [8 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Každou záhadu popsat odstavcem (5-10 vět)    	[8 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	8	1	[8 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Každou záhadu popsat odstavcem (5-10 vět)    	 Každou záhadu popsat odstavcem (5-10 vět)			
[9 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Popsat, co je na ní záhadného, ​​kde se nachází, co se o ní ví    [9 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Popsat, co je na ní záhadného, ​​kde se nachází, co se o ní ví    	[9 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	9	1	[9 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Popsat, co je na ní záhadného, ​​kde se nachází, co se o ní ví    	 Popsat, co je na ní záhadného, ​​kde se nachází, co se o ní ví			
[10 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Fotky nebudou kvůli autorským právům - pokusit se je popsat    [10 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Fotky nebudou kvůli autorským právům - pokusit se je popsat    	[10 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	10	1	[10 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Fotky nebudou kvůli autorským právům - pokusit se je popsat    	 Fotky nebudou kvůli autorským právům - pokusit se je popsat			
