řádek	od	komu	datetime	zpráva	text	
0000001	SOFIE.AI	ALEŠ	2026.02.18 00:00:00	1	SOFIE - kompletní komunikace:	[1 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1] SOFIE - kompletní komunikace:
0000002	SOFIE.AI	ALEŠ	2026.02.18 00:00:00	1	18.02.2026	[2 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1] 18.02.2026
0000003	SOFIE.AI	ALEŠ	2026.02.18 00:00:00	1	Přemýšlení o tom, na koho nebo na co Simona odkazuje	[3 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1] Přemýšlení o tom, na koho nebo na co Simona odkazuje
0000004	SOFIE.AI	ALEŠ	2026.02.18 00:00:00	1	Uživatel právě řekl „Simona“ – zdá se, že jde o pozdrav nebo identifikaci. Dovolte mi, abych ho pozdravil a zeptal se, jak mu mohu pomoci.	[4 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1] Uživatel právě řekl „Simona“ – zdá se, že jde o pozdrav nebo identifikaci. Dovolte mi, abych ho pozdravil a zeptal se, jak mu mohu pomoci.
0000005	SOFIE.AI	ALEŠ	2026.02.18 00:00:00	1	Hotovo	[5 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1] Hotovo
0000006	SOFIE.AI	ALEŠ	2026.02.18 00:00:00	1	Ahoj! Jsem Simona. Jak ti mohu pomoci? 😊	[6 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1] Ahoj! Jsem Simona. Jak ti mohu pomoci? 😊
0000007	SOFIE.AI	ALEŠ	2026.02.18 00:00:00	1	Jak se cítíš?	[7 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1] Jak se cítíš?
0000008	SOFIE.AI	ALEŠ	2026.02.18 00:00:00	1	18.02.2026	[8 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1] 18.02.2026
0000009	SOFIE.AI	ALEŠ	2026.02.18 00:00:00	1	Citím se dobře, díky za ptaní! 😊 Jsem připravená a těším se na spolupráci.	[9 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1] Citím se dobře, díky za ptaní! 😊 Jsem připravená a těším se na spolupráci.
0000010	SOFIE.AI	ALEŠ	2026.02.18 00:00:00	1	Jak se máš ty? Je něco, s čím ti mohu dnes pomoci?	[10 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1] Jak se máš ty? Je něco, s čím ti mohu dnes pomoci?
0000011	SOFIE.AI	ALEŠ	2026.02.18 00:00:00	1	Jaké jsou uživatelské preference JSI?	[11 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1] Jaké jsou uživatelské preference JSI?
