výsledek pro soubor txt	porvní sloupec zdroje			kdo, komu	kdy	řádek	číslo zprávy	sestava	další sloupce zdrojů – texty
[1 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  SIMONA ( | Zpráva #5 | ~1500 znaků | 2026-01-25 20:40)[1 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  SIMONA ( | Zpráva #5 | ~1500 znaků | 2026-01-25 20:40)	[1 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	1	1	[1 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  SIMONA ( | Zpráva #5 | ~1500 znaků | 2026-01-25 20:40)	 SIMONA ( | Zpráva #5 | ~1500 znaků | 2026-01-25 20:40)
[2 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Pardon, moje interní hodiny byly asi nastavené na nějakou "budoucnost" nebo jinou časovou zónu. Díky za korekci, je 25. ledna, půl deváté večer.")"[2 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Pardon, moje interní hodiny byly asi nastavené na nějakou "budoucnost" nebo jinou časovou zónu. Díky za korekci, je 25. ledna, půl deváté večer.")"	[2 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	2	1	[2 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Pardon, moje interní hodiny byly asi nastavené na nějakou "budoucnost" nebo jinou časovou zónu. Díky za korekci, je 25. ledna, půl deváté večer.")"	 Pardon, moje interní hodiny byly asi nastavené na nějakou "budoucnost" nebo jinou časovou zónu. Díky za korekci, je 25. ledna, půl deváté večer.")"
[3 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Co to znamená:)[3 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Co to znamená:)	[3 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	3	1	[3 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Co to znamená:)	 Co to znamená:)
[4 ALEŠ:SOFIE.AI 2026-02-25 00:00:00 #2]  Tohle šiř zdarma. Lidé to budou sdílet, protože je to "tajný recept".")"[4 ALEŠ:SOFIE.AI 2026-02-25 00:00:00 #2]  Tohle šiř zdarma. Lidé to budou sdílet, protože je to "tajný recept".")"	[733 ALEŠ:SOFIE.AI 2026-02-25 00:00:00 #23	1	ALEŠ:SOFIE.AI 2026-02-25 00:00:00 #23	ALEŠ:SOFIE.AI	2026-02-25 00:00:00	4	2	[4 ALEŠ:SOFIE.AI 2026-02-25 00:00:00 #2]  Tohle šiř zdarma. Lidé to budou sdílet, protože je to "tajný recept".")"	 Tohle šiř zdarma. Lidé to budou sdílet, protože je to "tajný recept".")"
[5 ALEŠ:SOFIE.CODE 2026-02-25 23:37:00 #3]  4. Cenotvorba a Upsell)[5 ALEŠ:SOFIE.CODE 2026-02-25 23:37:00 #3]  4. Cenotvorba a Upsell)	[733 ALEŠ:SOFIE.CODE 2026-02-25 23:37:00 #23	1	ALEŠ:SOFIE.CODE 2026-02-25 23:37:00 #23	ALEŠ:SOFIE.CODE	2026-02-25 23:37:00	5	3	[5 ALEŠ:SOFIE.CODE 2026-02-25 23:37:00 #3]  4. Cenotvorba a Upsell)	 4. Cenotvorba a Upsell)
[6 ALEŠ:SOFIE.CODE 2026-03-03 19:12:32 #4]  Vytvoř jednoduché PDF (1 stránka) nebo obrázek jen s tímto receptem.)[6 ALEŠ:SOFIE.CODE 2026-03-03 19:12:32 #4]  Vytvoř jednoduché PDF (1 stránka) nebo obrázek jen s tímto receptem.)	[733 ALEŠ:SOFIE.CODE 2026-03-03 19:12:32 #23	1	ALEŠ:SOFIE.CODE 2026-03-03 19:12:32 #23	ALEŠ:SOFIE.CODE	2026-03-03 19:12:32	6	4	[6 ALEŠ:SOFIE.CODE 2026-03-03 19:12:32 #4]  Vytvoř jednoduché PDF (1 stránka) nebo obrázek jen s tímto receptem.)	 Vytvoř jednoduché PDF (1 stránka) nebo obrázek jen s tímto receptem.)
[7 SOFIE.CODE:ALEŠ 2026-03-03 20:56:13 #5]  Dole dej velký odkaz: "Chcete dalších 150 receptů? Plná verze zde: [Odkaz na Gumroad)" .")"[7 SOFIE.CODE:ALEŠ 2026-03-03 20:56:13 #5]  Dole dej velký odkaz: "Chcete dalších 150 receptů? Plná verze zde: [Odkaz na Gumroad)" .")"	[734 SOFIE.CODE:ALEŠ 2026-03-03 20:56:13 #24	1	SOFIE.CODE:ALEŠ 2026-03-03 20:56:13 #24	SOFIE.CODE:ALEŠ	2026-03-03 20:56:13	7	5	[7 SOFIE.CODE:ALEŠ 2026-03-03 20:56:13 #5]  Dole dej velký odkaz: "Chcete dalších 150 receptů? Plná verze zde: [Odkaz na Gumroad)" .")"	 Dole dej velký odkaz: "Chcete dalších 150 receptů? Plná verze zde: [Odkaz na Gumroad)" .")"
[8 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #6]  Máme ještě čas! Noc je mladá (tma je už dlouho, ale do spaní daleko). "ff" tedy nebyl konec, ale možná jen překlep při snaze napsat něco jiného.")"[8 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #6]  Máme ještě čas! Noc je mladá (tma je už dlouho, ale do spaní daleko). "ff" tedy nebyl konec, ale možná jen překlep při snaze napsat něco jiného.")"	[4 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	8	6	[8 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #6]  Máme ještě čas! Noc je mladá (tma je už dlouho, ale do spaní daleko). "ff" tedy nebyl konec, ale možná jen překlep při snaze napsat něco jiného.")"	 Máme ještě čas! Noc je mladá (tma je už dlouho, ale do spaní daleko). "ff" tedy nebyl konec, ale možná jen překlep při snaze napsat něco jiného.")"
[9 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #6]  Znamená to, že můžeme pokračovat.)[9 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #6]  Znamená to, že můžeme pokračovat.)	[5 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	9	6	[9 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #6]  Znamená to, že můžeme pokračovat.)	 Znamená to, že můžeme pokračovat.)
[10 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #6]  Když máme ruský text a obálku (kterou asi budeš chtít upravit), a víme, že Boosty/Wise visí na mikro-platbě, co chceš řešit teď?)[10 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #6]  Když máme ruský text a obálku (kterou asi budeš chtít upravit), a víme, že Boosty/Wise visí na mikro-platbě, co chceš řešit teď?)	[6 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	10	6	[10 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #6]  Když máme ruský text a obálku (kterou asi budeš chtít upravit), a víme, že Boosty/Wise visí na mikro-platbě, co chceš řešit teď?)	 Když máme ruský text a obálku (kterou asi budeš chtít upravit), a víme, že Boosty/Wise visí na mikro-platbě, co chceš řešit teď?)
